id,agent,gaze,valence,rt,correct
656,robot,closed,positive,965.4179999972694,1
656,human,open,negative,1138.1089999959804,1
656,human,closed,positive,1019.7009999997681,1
656,robot,closed,negative,1138.0060000017984,1
656,human,closed,positive,1319.757999999798,1
656,robot,closed,negative,801.9709999964107,1
656,human,open,positive,1016.9379999985686,1
656,robot,closed,negative,1311.2430000001332,0
656,robot,open,positive,1800.3169999967795,1
656,human,closed,positive,1239.0390000016196,1
656,human,open,positive,780.701999999932,1
656,robot,closed,positive,665.0990000008605,1
656,human,open,positive,741.3630000016419,1
656,robot,closed,positive,1302.8110000021989,1
656,human,open,negative,2018.892999998061,1
656,human,closed,positive,821.4659999997821,1
656,human,closed,positive,1051.703999995254,1
656,robot,closed,positive,896.6159999953816,1
656,human,open,positive,1012.2729999988806,1
656,robot,open,positive,663.3369999997085,1
656,human,closed,positive,1076.420000000042,1
656,human,open,positive,1016.5879999975441,1
656,human,open,negative,774.8780000013066,1
656,human,open,negative,1137.2960000023013,1
656,robot,closed,negative,850.9730000005802,1
656,human,open,positive,735.7179999966174,1
656,human,closed,negative,921.5709999994142,1
656,robot,open,negative,1032.1169999979902,1
656,robot,open,negative,901.6279999978142,1
656,human,open,positive,856.596000001533,1
656,robot,closed,positive,1093.425999996136,1
656,robot,closed,negative,821.6220000017202,1
656,human,open,negative,763.9699999977602,1
656,human,closed,negative,868.7440000015777,1
656,human,closed,positive,821.2330000017537,1
656,robot,closed,negative,899.5110000019195,1
656,robot,open,positive,1262.5240000020713,1
656,human,closed,negative,1099.3980000014417,1
656,human,closed,positive,938.492999998387,1
656,robot,open,positive,772.072999996366,1
656,robot,closed,negative,884.5029999986291,1
656,human,closed,positive,1032.0799999961164,1
656,human,open,negative,1098.0549999999348,1
