id,event,time_end,text
670,Fixation,378926.36,NA
670,Prime,379126.36,NA
670,Blank,379226.4,NA
670,Word,379802,NA
670,ISI,380826.32,NA
670,Trial,380826.32,NA
670,Fixation,381326.3,NA
670,Prime,381543.04,NA
670,Blank,381642.94,NA
670,Word,382272,NA
670,ISI,383299.04,NA
670,Trial,383299.04,NA
670,Fixation,383799.02,NA
670,Prime,383998.74,NA
670,Blank,384115.7,NA
670,Word,384704,NA
670,ISI,385732.28,NA
670,Trial,385732.28,NA
670,Fixation,386232.34,NA
670,Prime,386432.34,NA
670,Blank,386532.38,NA
670,Word,387095,NA
670,ISI,388107.56,NA
670,Trial,388107.56,NA
670,Fixation,388606.52,NA
670,Prime,388824.22,NA
670,Blank,388923.34,NA
670,Word,389518,NA
670,ISI,390540.86,NA
670,Trial,390540.86,NA
670,Fixation,391040.86,NA
670,Prime,391240.86,NA
670,Blank,391357.56,NA
670,Word,392439,NA
670,ISI,393481.4,NA
670,Trial,393481.4,NA
670,Fixation,393997.34,NA
670,Prime,394197.46,NA
670,Blank,394298.22,NA
670,Word,394926,NA
670,ISI,395948.16,NA
670,Trial,395948.16,NA
670,Fixation,396448.12,NA
670,Prime,396664.8,NA
670,Blank,396764.84,NA
670,Word,397306,NA
670,ISI,398331.48,NA
670,Trial,398331.48,NA
670,Fixation,398822.68,NA
670,Prime,399022.64,NA
670,Blank,399122.68,NA
670,Word,399784,NA
670,ISI,400805.98,NA
670,Trial,400805.98,NA
670,Fixation,401305.9,NA
670,Prime,401505.94,NA
670,Blank,401605.64,NA
670,Word,402242,NA
670,ISI,403272.66,NA
670,Trial,403272.66,NA
670,Fixation,403772.6,NA
670,Prime,403980.74,NA
670,Blank,404080.3,NA
670,Word,404650,NA
670,ISI,405679.28,NA
670,Trial,405679.28,NA
670,Fixation,406178.56,NA
670,Prime,406379.24,NA
670,Blank,406479.24,NA
670,Word,407130,NA
670,ISI,408162.58,NA
670,Trial,408162.58,NA
670,Fixation,408662.54,NA
670,Prime,408862.4,NA
670,Blank,408958.2,NA
670,Word,409650,NA
670,ISI,410671.14,NA
670,Trial,410671.14,NA
670,Fixation,411171.08,NA
670,Prime,411387.8,NA
670,Blank,411487.58,NA
670,Word,412102,NA
670,ISI,413121.04,NA
670,Trial,413121.04,NA
670,Fixation,413620.02,NA
670,Prime,413821.1,NA
670,Blank,413937.9,NA
670,Word,414531,NA
670,ISI,415561,NA
670,Trial,415561,NA
670,Fixation,416061.86,NA
670,Prime,416261.78,NA
670,Blank,416360.9,NA
670,Word,417029,NA
670,ISI,418061.78,NA
670,Trial,418061.78,NA
670,Fixation,418561.76,NA
670,Prime,418778.5,NA
670,Blank,418878.28,NA
670,Word,419532,NA
670,ISI,420567.8,NA
670,Trial,420567.8,NA
670,Fixation,421067.74,NA
670,Prime,421267.34,NA
670,Blank,421383.46,NA
670,Word,421933,NA
670,ISI,422951.16,NA
670,Trial,422951.16,NA
670,Fixation,423451.14,NA
670,Prime,423651.08,NA
670,Blank,423751.12,NA
670,Word,424348,NA
670,ISI,425367.72,NA
670,Trial,425367.72,NA
670,Fixation,425875.22,NA
670,Prime,426075.62,NA
670,Blank,426174.64,NA
670,Word,426730,NA
670,ISI,427758.84,NA
670,Trial,427758.84,NA
670,Fixation,428258.78,NA
670,Prime,428458.78,NA
670,Blank,428558.76,NA
670,Word,429160,NA
670,ISI,430192.14,NA
670,Trial,430192.14,NA
670,Fixation,430692.18,NA
670,Prime,430883.2,NA
670,Blank,430983.46,NA
670,Word,431649,NA
670,ISI,432667.38,NA
670,Trial,432667.38,NA
670,Fixation,433167.38,NA
670,Prime,433383.98,NA
670,Blank,433483.98,NA
670,Word,434099,NA
670,ISI,435117.3,NA
670,Trial,435117.3,NA
670,Fixation,435617.36,NA
670,Prime,435816.4,NA
670,Blank,435904.52,NA
670,Word,436533,NA
670,ISI,437557.52,NA
670,Trial,437557.52,NA
670,Fixation,438056.68,NA
670,Prime,438257.54,NA
670,Blank,438357.5,NA
670,Word,439129,NA
670,ISI,440157.54,NA
670,Trial,440157.54,NA
670,Fixation,440657.48,NA
670,Prime,440873.1,NA
670,Blank,440961.26,NA
670,Word,441678,NA
670,ISI,442696.58,NA
670,Trial,442696.58,NA
670,Fixation,443197.52,NA
670,Prime,443397.48,NA
670,Blank,443514.22,NA
670,Word,444131,NA
670,ISI,445164.1,NA
670,Trial,445164.1,NA
670,Fixation,445664.1,NA
670,Prime,445864.16,NA
670,Blank,445967.1,NA
670,Word,446600,NA
670,ISI,447621.06,NA
670,Trial,447621.06,NA
670,Fixation,448121.02,NA
670,Prime,448337.66,NA
670,Blank,448437.64,NA
670,Word,449009,NA
670,ISI,450037.64,NA
670,Trial,450037.64,NA
670,Fixation,450536.64,NA
670,Prime,450737.66,NA
670,Blank,450837.6,NA
670,Word,451458,NA
670,ISI,452494.54,NA
670,Trial,452494.54,NA
670,Fixation,452994.52,NA
670,Prime,453194.52,NA
670,Blank,453294.6,NA
670,Word,453909,NA
670,ISI,454927.84,NA
670,Trial,454927.84,NA
670,Fixation,455427.82,NA
670,Prime,455644.56,NA
670,Blank,455744.5,NA
670,Word,456680,NA
670,ISI,457717.02,NA
670,Trial,457717.02,NA
670,Fixation,458216.14,NA
670,Prime,458417.08,NA
670,Blank,458517,NA
670,Word,459114,NA
670,ISI,460133.66,NA
670,Trial,460133.66,NA
670,Fixation,460633.72,NA
670,Prime,460833.68,NA
670,Blank,460933.7,NA
670,Word,461806,NA
670,ISI,462840.6,NA
670,Trial,462840.6,NA
670,Fixation,463340.64,NA
670,Prime,463557.32,NA
670,Blank,463673.92,NA
670,Word,464347,NA
670,ISI,465373.52,NA
670,Trial,465373.52,NA
670,Fixation,465873.02,NA
670,Prime,466073.92,NA
670,Blank,466173.58,NA
670,Word,466902,NA
670,ISI,467915.84,NA
670,Trial,467915.84,NA
670,Fixation,468415.82,NA
670,Prime,468615.92,NA
670,Blank,468715.82,NA
670,Word,469301,NA
670,ISI,470332.52,NA
670,Trial,470332.52,NA
670,Fixation,470832.44,NA
670,Prime,471048.14,NA
670,Blank,471149.14,NA
670,Word,471945,NA
670,ISI,472972.6,NA
670,Trial,472972.6,NA
670,Fixation,473472.22,NA
670,Prime,473671.84,NA
